Q:13
#A:7
A:0|1|+| |A|C|U
Q0 :00011|10111|+0+11| 1 01|A   0|C   0|U   0
Q1 :02A01|15A01|+9 01|    0|A   0|C   0|U   0
Q2 :02001|12101|+3+01|    0|A   0|C   0|U   0
Q3 :04C11|14U11|+   0| 4C11|A   0|C3C01|U3U01
Q4 :04011|14111|+4+11|    0|A1001|C4C11|U4U11
Q5 :05001|15101|+6+01|    0|A   0|C   0|U   0
Q6 :07U11|18C01|+   0| 7U11|A   0|C6C01|U6U01
Q7 :07011|17111|+7+11|    0|A1101|C7C11|U7U11
Q8 :07111|18001|+   0| 7111|A   0|C   0|U   0
Q9 :09001|19101|+   0| : 11|A   1|C9001|U9101
Q10:0:011|1:111|+   0| ; 11|A   0|C   0|U   0
Q11:0; 11|1; 11|+   0| < 11|A   0|C   0|U   0
Q12:0   0|1   0|+   0|    0|A   0|C   0|U   O
